,CIK,Date,Amount A,Amount D,sec_alpha,PERMNO
3727,0000910521,2020-02,0.0,6571.0,0.9,79686
3728,0000910521,2020-03,40901.0,0.0,1.1,79686
3729,0000910521,2020-05,0.0,1832.0,0.9,79686
3730,0000910521,2020-06,89524.0,6323.0,1.1,79686
3731,0000910521,2020-07,1236812.0,164652.0,1.1,79686
3732,0000910521,2020-08,0.0,36113.0,0.9,79686
3733,0000910521,2020-09,291621.0,5259.0,1.1,79686
3734,0000910521,2020-10,74012.0,80727.0,0.9,79686
3735,0000910521,2020-11,497403.0,56046.0,1.1,79686
3736,0000910521,2020-12,1895633.0,22023.0,1.1,79686
3737,0000910521,2021-01,1702236.0,22077.0,1.1,79686
3738,0000910521,2021-02,277574.0,6460.0,1.1,79686
3739,0000910521,2021-03,183373.0,5001.0,1.1,79686
3740,0000910521,2021-04,0.0,5001.0,0.9,79686
3741,0000910521,2021-05,0.0,37972.0,0.9,79686
3742,0000910521,2021-06,200443.0,5001.0,1.1,79686
3743,0000910521,2021-07,400162.0,27252.0,1.1,79686
3744,0000910521,2021-08,38437.0,39382.0,0.9,79686
3745,0000910521,2021-09,159004.0,37253.0,1.1,79686
3746,0000910521,2021-10,284272.0,193986.0,1.1,79686
3747,0000910521,2021-11,143952.0,41635.0,1.1,79686
3748,0000910521,2021-12,182564.0,27252.0,1.1,79686
3749,0000910521,2022-01,0.0,54.0,0.9,79686
3750,0000910521,2022-02,175506.0,0.0,1.1,79686
3751,0000910521,2022-03,286214.0,0.0,1.1,79686
3752,0000910521,2022-05,0.0,28924.0,0.9,79686
3753,0000910521,2022-06,315614.0,0.0,1.1,79686
3754,0000910521,2022-08,411030.0,11775.0,1.1,79686
3755,0000910521,2022-09,290027.0,34299.0,1.1,79686
3756,0000910521,2022-10,0.0,33001.0,0.9,79686
3757,0000910521,2022-11,244214.0,39457.0,1.1,79686
3758,0000910521,2022-12,0.0,75212.0,0.9,79686
3759,0000910521,2023-01,0.0,10001.0,0.9,79686
3760,0000910521,2023-02,359571.0,38486.0,1.1,79686
3761,0000910521,2023-03,382646.0,0.0,1.1,79686
3762,0000910521,2023-04,0.0,51.0,0.9,79686
3763,0000910521,2023-05,0.0,8935.0,0.9,79686
3764,0000910521,2023-06,416247.0,44183.0,1.1,79686
3765,0000910521,2023-08,307526.0,7032.0,1.1,79686
3766,0000910521,2023-09,1016010.0,72086.0,1.1,79686
3767,0000910521,2023-10,719212.0,71922.0,1.1,79686
3768,0000910521,2023-11,251406.0,4000.0,1.1,79686
3769,0000910521,2023-12,1472512.0,147259.0,1.1,79686
3770,0000910521,2024-01,1797812.0,179782.0,1.1,79686
3771,0000910521,2024-02,636908.0,123146.0,1.1,79686
3772,0000910521,2024-03,708764.0,59932.0,1.1,79686
3773,0000910521,2024-04,599312.0,59932.0,1.1,79686
3774,0000910521,2024-05,0.0,25613.0,0.9,79686
3775,0000910521,2024-06,89455.0,62487.0,1.1,79686
3776,0000910521,2024-08,174283.0,7280.0,1.1,79686
3777,0000910521,2024-09,96175.0,4594.0,1.1,79686
3778,0000910521,2024-10,0.0,91981.0,0.9,79686
3779,0000916540,2018-03,1968900.0,65324.0,1.1,80928
3780,0000916540,2018-05,59103.0,0.0,1.1,80928
3781,0000916540,2018-11,3703.0,0.0,1.1,80928
3782,0000916540,2019-03,5500523.0,914398.0,1.1,80928
3783,0000916540,2019-05,52990.0,0.0,1.1,80928
3784,0000916540,2019-08,1000.0,0.0,1.1,80928
3785,0000916540,2019-11,100438.0,69519.0,1.1,80928
3786,0000916540,2020-02,6298529.0,116186.0,1.1,80928
3787,0000916540,2020-03,91506.0,93437.0,0.9,80928
3788,0000916540,2020-05,156863.0,70527.0,1.1,80928
3789,0000916540,2020-08,221863.0,297763.0,0.9,80928
3790,0000916540,2020-11,96022.0,309899.0,0.9,80928
3791,0000916540,2021-01,570617.0,185309.0,1.1,80928
3792,0000916540,2021-03,4600527.0,636416.0,1.1,80928
3793,0000916540,2021-05,17681.0,0.0,1.1,80928
3794,0000916540,2021-06,1975.0,0.0,1.1,80928
3795,0000916540,2021-08,16187.0,131713.0,0.9,80928
3796,0000916540,2021-10,917.0,0.0,1.1,80928
3797,0000916540,2022-01,605660.0,244377.0,1.1,80928
3798,0000916540,2022-03,4977231.0,479214.0,1.1,80928
3799,0000916540,2022-05,63754.0,170506.0,0.9,80928
3800,0000916540,2022-06,23963.0,48963.0,0.9,80928
3801,0000916540,2022-11,0.0,25000.0,0.9,80928
3802,0000916540,2023-01,843020.0,14458.0,1.1,80928
3803,0000916540,2023-03,3210711.0,175518.0,1.1,80928
3804,0000916540,2023-05,532050.0,120001.0,1.1,80928
3805,0000916540,2023-08,56855.0,158838.0,0.9,80928
3806,0000916540,2023-09,70688.0,170688.0,0.9,80928
3807,0000916540,2023-11,16288.0,0.0,1.1,80928
