Company,cik,permno
MACKIE DESIGNS INC,946815,82191
NAPCO SECURITY SYSTEMS INC,69633,55993
E TRADE GROUP INC,1015780,83862
SHARPER IMAGE CORP,1367981,11278
FOODARAMA SUPERMARKETS INC,37914,47036
AMERICAN MEDICAL TECHNOLOGIES IN,874388,76701
PERICOM SEMICONDUCTOR CORP,1001426,85496
NORTH AMERICAN SCIENTIFIC INC,949876,85837
KEITH COMPANIES INC,1080922,87093
MAXICARE HEALTH PLANS INC,722573,51992
QUORUM HEALTH GROUP INC,854694,80570
LEXICON GENETICS INC,1062822,88173
EN POINTE TECHNOLOGIES INC,1010305,83499
DATAWATCH CORP,792130,77630
ERGO SCIENCE CORP,1158846,82695
VICOM INC,732412,80638
BITSTREAM INC,818813,84057
FIRST FINANCIAL HOLDINGS INC,787075,35503
DANIELSON HOLDING CORP,225648,76515
DECKERS OUTDOOR CORP,910521,79686
A B WATLEY GROUP INC,1035632,86828
CAPITAL TITLE GROUP INC,1017158,86354
FOILMARK INC,914066,80624
CAMINUS CORP,1095157,87559
HORIZON PHARMACIES INC,1036260,85242
LECROY CORP,943580,82504
MASSBANK CORP,799166,10271
MASTEC INC,15615,19880
FRANKLIN COVEY CO,886206,77637
LIONBRIDGE TECHNOLOGIES,1058299,87172
HOME PRODUCTS INTERNATIONAL INC,814457,75585
SHAW GROUP INC,914024,80032
DALEEN TECHNOLOGIES INC,1002658,87313
CURAGEN CORP,1030653,85864
PATTERSON ENERGY INC,889900,79857
ADAM COM INC,863650,82544
LIGHTSPAN INC,1097892,87617
WASHINGTON BANKING CO,1058690,86199
AMERICAN CLAIMS EVALUATION INC,774517,10100
UNUM THERAPEUTICS INC,1622229,17372
IPARTY CORP,1078383,87538
EDUCATION MANAGEMENT CORP,880059,84075
DUDDELL STREET ACQUISITION CORP,1823466,20143
ACE COMM CORP,1017526,83838
RED HAT INC,1087423,87184
NOBLE INTERNATIONAL LTD,1034258,85622
CARVANA CO,1690820,16655
TENET HEALTHCARE CORP,70318,52337
NEXTEL PARTNERS INC,1085707,87623
PENTON MEDIA INC,1062441,86311
INFOCURE CORP,1028584,85245
SUFFOLK BANCORP,754673,75509
STARTEK INC,1031029,85077
BANK OF WILMINGTON,1334872,89861
SIPEX CORP,1007800,83416
EPICEDGE INC,313041,87463
HOWELL CORP,745113,58886
PROGRAMMERS PARADISE INC,945983,81893
INKINE PHARMACEUTICAL CO INC,929547,81636
PERSONNEL GROUP OF AMERICA INC,948850,82238
ENDWAVE CORP,1118941,88727
ALL AMERICAN SEMICONDUCTOR INC,818074,75554
CABOT OIL & GAS CORP,858470,76082
HIRERIGHT HOLDINGS CORP,1859285,22115
XETEL CORP,1003932,83185
VARSITY GROUP INC,1069502,87643
HYPERTENSION DIAGNOSTICS INC,1058828,86329
CHAPARRAL RESOURCES INC,19252,22673
PIXTECH INC,946144,81890
