Company,cik,permno
ARMSTRONG HOLDINGS INC,1109304,19692
WORONOCO BANCORP INC,1072886,86761
VIACOM INC,1339947,75104
DESIGNS INC,813298,11379
OMTOOL LTD,1020579,85306
GENLYTE GROUP INC,833076,12022
SUPPORT COM INC,1104855,88468
PACKETEER INC,1011344,87118
ASCENDANT SOLUTIONS INC,1080029,87375
CENTEX CORP,18532,53831
ETHYL CORP,33656,42550
KANEB SERVICES INC,54441,42067
SANDERSON FARMS INC,812128,11343
CYBERONICS INC,864683,78881
CONSOLIDATED PRODUCTS INC,93859,26607
ELECTRO RENT CORP,32166,32046
UNION ACCEPTANCE CORP,927790,82221
CYBEROPTICS CORP,768411,11825
CENTEX CONSTRUCTION PRODUCTS INC,918646,80415
HEADHUNTER NET INC,1065984,87164
AREMISSOFT CORP,1065152,86815
COPPER MOUNTAIN NETWORKS INC,1031951,86885
AVOCENT CORP,1109808,88424
DOCUMENTUM INC,930885,83130
BILLING CONCEPTS CORP,1013706,83734
INNODATA CORP,903651,79499
SOFTECH INC,354260,71002
GANNETT CO INC,39899,47941
ALFA CORP,743532,34498
NEOWARE SYSTEMS INC,894743,81491
COMMUNITY FINANCIAL CORP,850606,75773
LOISLAW COM INC,1088820,87243
VICON INDUSTRIES INC,310056,61700
NORTHLAND CRANBERRIES INC,818010,11614
COLDWATER CREEK INC,1018005,84416
INFONAUTICS INC,909494,83382
PACIFIC CONTINENTAL CORP,1084717,88367
FARGO ELECTRONICS INC,1098834,87606
IMAGEWARE SYSTEMS INC,941685,88213
OMEGA WORLDWIDE INC,1051964,85997
CONTINENTAL MATERIALS CORP,24104,30840
TOLLGRADE COMMUNICATIONS INC,1002531,82755
C BRIDGE INTERNET SOLUTIONS INC,1088570,87479
TELETOUCH COMMUNICATIONS INC,928659,81181
INTERDENT INC,1072765,86772
GOTO COM INC,1060439,86968
GEORGIA GULF CORP,805264,75222
HARSCO CORP,45876,25304
DIRECT FOCUS INC,1078207,86889
COMPUDYNE CORP,22912,30744
PRIMUS KNOWLEDGE SOLUTIONS INC,1067797,87126
EAGLE WIRELESS INTERNATIONAL INC,1023139,87579
ADAPTEC INC,709804,10353
HANOVER COMPRESSOR CO,909413,85240
TUT SYSTEMS INC,878436,86586
CIBER INC,918581,80316
VIATEL INC,945771,84147
COMFORT SYSTEMS USA INC,1035983,85059
ALPHARMA INC,730469,65832
ALPHA INDUSTRIES INC,4127,45911
NETCURRENTS INC,854937,76456
BRITESMILE INC,866734,76931
INDUS INTERNATIONAL INC,1041333,85294
SURMODICS INC,924717,85889
ANAREN MICROWAVE INC,6314,14227
E LOAN INC,1082337,86961
PROVINCE HEALTHCARE CO,1044942,85933
AIRBORNE INC,3000,51721
HEARST ARGYLE TELEVISION INC,949536,85374
SPATIALIGHT INC,881468,77324
MAGNA ENTERTAINMENT CORP,1093273,87619
ALLAIRE CORP,1016139,86565
MAINE PUBLIC SERVICE CO,61611,33937
NAVIGANT CONSULTING INC,1019737,84103
AULT INC,723639,15748
PROTECTIVE LIFE CORP,355429,64486
CHEESECAKE FACTORY INC,887596,77902
CORVIS CORP,1060490,88430
STATION CASINOS INC,898660,79192
PILGRIMS PRIDE CORP,802481,87040
PENFORD CORP,739608,62042
FARMERS CAPITAL BANK CORP,713095,10913
SAMES CORP,12180,55044
CELL GENESYS INC,865231,78815
OHIO CASUALTY CORP,73952,59126
AMERICAN REALTY INVESTORS INC,1102238,49322
MORGAN FUNSHARES INC,916687,80644
EPIQ SYSTEMS INC,1027207,84531
OPTICARE HEALTH SYSTEMS INC,311046,87148
FIRST FRANKLIN CORP,742161,11847
KOHLS CORP,885639,77606
NUWAVE TECHNOLOGIES INC,1009802,83809
WINTON FINANCIAL CORP,857907,79200
U S PHYSICAL THERAPY INC,885978,77629
ROFIN SINAR TECHNOLOGIES INC,1019361,83961
LEGALZOOM COM INC,1286139,21564
AVIS GROUP HOLDINGS INC,1040445,85331
HUNGARIAN TELEPHONE & CABLE CORP,889949,78157
IBERIABANK CORP,933141,81564
GREAT PLAINS SOFTWARE INC,758540,85011
CARLISLE COMPANIES,790051,27334
MARLTON TECHNOLOGIES,96988,60142
WESTERN ALLIANCE BANCORPORATION,1212545,90776
MONTEREY PASTA CO,913032,80023
ALLIN COMMUNICATIONS CORP,1020391,84187
WILLIAMS CONTROLS INC,854860,76013
NEWPOWER HOLDINGS INC,1119307,88679
HI SHEAR TECHNOLOGY CORP,918027,80393
OPTICAL CABLE CORP,1000230,83399
U S LIQUIDS INC,1041095,85268
GENESEE CORP,40934,38608
BELO CORP,356080,65509
DOCENT INC,1043134,88624
MERIDIAN BIOSCIENCE INC,794172,10530
CLEVELAND CLIFFS INC,764065,27422
QUALITY DINING INC,917126,80359
CARPENTER TECHNOLOGY CORP,17843,20618
AMERICAN TECHNICAL CERAMICS CORP,766430,69200
ESTERLINE TECHNOLOGIES CORP,33619,50788
SAUER DANFOSS INC,865754,86034
SEMELE GROUP INC,812914,12275
KAMAN CORP,54381,47002
COMMERCIAL FEDERAL CORP,744778,86861
HAMMONS JOHN Q HOTELS INC,930796,81060
TOWER AUTOMOTIVE INC,925548,80852
GENSYM CORP,1005387,83138
TEXAS INDUSTRIES INC,97472,40694
BEAR STEARNS COMPANIES INC,1427298,68304
STUDENT LOAN CORP,893955,78804
EMCORE CORP,808326,84607
COVISTA COMMUNICATIONS INC,34497,34287
INDUSTRIAL DATA SYSTEMS CORP,933738,86122
ALLIED RISER COMMUNICATIONS CORP,1091535,87300
EDELBROCK CORP,929037,80973
ONCOSEC MEDICAL INC,1444307,15380
COMCAST CORP,22301,25022
PINNACLE BANCSHARES INC,1044082,10974
INTERLEUKIN GENETICS INC,1037649,85564
MEDAMICUS INC,833140,76943
LIBERTY LIVEWIRE CORP,61442,88354
UNISOURCE ENERGY CORP,941138,48389
DELTIC TIMBER CORP,1022469,84365
FIRST HORIZON PHARMACEUTICAL COR,1106773,88249
COPYTELE INC,715446,27167
CITY HOLDING CO,726854,11442
PLANET POLYMER TECHNOLOGIES INC,896861,82274
COLLINS INDUSTRIES INC,21759,24572
VCAMPUS CORP,943742,84277
INTERMET CORP,745287,89093
ARROW INTERNATIONAL INC,886046,77667
SAFESCIENCE INC,946661,86090
AVERT INC,920909,81141
ACTIVE POWER INC,1044435,88497
CHEMED CORP,19584,64194
COTELLIGENT INC,1004963,83122
WEBMETHODS INC,1035096,87644
LANDAMERICA FINANCIAL GROUP INC,877355,77018
TEAM FINANCIAL INC,1082484,87002
LIQUID AUDIO INC,1016613,87076
MIKRON INSTRUMENT CO INC,787809,75494
ANALYTICAL SURVEYS INC,753048,10881
GERBER SCIENTIFIC INC,41133,47888
PETSMART INC,863157,79411
CONCEPTS DIRECT INC,891035,80614
PROBUSINESS SERVICES INC,1028751,85393
JEFFERSONVILLE BANCORP,874495,86075
MORTGAGE COM INC,1081182,87175
EMAGIN CORP,1046995,87658
SPACELABS MEDICAL INC,886142,77713
VAXGEN INC,1036968,87023
PELICAN FINANCIAL INC,1037652,87441
VALLEY NATIONAL GASES INC,1030715,84763
CHROMAVISION MEDICAL SYSTEMS INC,1038223,85175
INTERNET COM CORP,1083712,86977
ESCALADE INC,33488,33532
EXIDE CORP,813781,79780
FLUSHING FINANCIAL CORP,923139,82573
CUBIST PHARMACEUTICALS INC,912183,84060
NUEVO ENERGY CO,861819,76238
SPACEHAB INC,1001907,82747
CADIZ INC,727273,85570
MICROSTRATEGY INC,1050446,86211
PRIVATEBANCORP INC,889936,87020
IGEN INTERNATIONAL INC,916304,80249
MAXIMUS INC,1032220,85067
BELCO OIL & GAS CORP,889005,83190
GERON CORP,886744,83756
GENERAL BEARING CORP,1026221,84536
PETROQUEST ENERGY INC,872248,78186
NORTH BANCSHARES INC,912623,80002
SPIGADORO INC,1029443,84617
AKAMAI TECHNOLOGIES INC,1086222,87299
ROTONICS MANUFACTURING INC,801873,35203
LIFESTREAM TECHNOLOGIES INC,1029738,88667
DEVCON INTERNATIONAL CORP,28452,29621
PRECISION CASTPARTS CORP,79958,63830
R & B INC,868780,76582
CORVEL CORP,874866,76721
CRAY INC,949158,82287
BIOMARIN PHARMACEUTICAL INC,1048477,87056
OSHKOSH B GOSH INC,75042,90721
BLUE WAVE SYSTEMS INC,949587,82265
DAXOR CORP,27367,29058
RICHTON INTERNATIONAL CORP,83877,35916
PW EAGLE INC,852426,75729
NOVAVAX INC,1000694,82779
SANTA FE FINANCIAL CORP,86759,79867
ISIS PHARMACEUTICALS INC,874015,76661
BADGER PAPER MILLS INC,9096,85754
PARADIGM GENETICS INC,1057217,88256
DAVOX CORP,811640,11277
RUBIOS RESTAURANTS INC,1082423,86935
AKSYS LTD,902600,83466
SATCON TECHNOLOGY CORP,889423,78073
FUTURELINK CORP,1061399,87560
MURPHY OIL CORP,717423,28345
RENTECH INC,868725,76978
SAVVIS COMMUNICATIONS CORP,1058444,87633
JOHNSON OUTDOORS INC,788329,11775
NORTHWEST PIPE CO,1001385,82599
LIFEWAY FOODS INC,814586,12209
CHATTEM INC,19520,22905
WET SEAL INC,863456,76217
RADIOLOGIX INC,1031329,85524
DIANON SYSTEMS INC,779282,76755
HOTEL RESERVATIONS NETWORK INC,1098322,87627
SYNPLICITY INC,1027362,88743
STAR TELECOMMUNICATIONS INC,1026486,85043
DRKOOP COM INC,1073794,86980
SILICONIX INC,90283,70659
CALIFORNIA MICRO DEVICES CORP,800460,10785
NOVEN PHARMACEUTICALS INC,815838,12236
RADIOSHACK CORP,96289,15560
PEGASUS SOLUTIONS INC,1040261,85311
CLARENT CORP,1068292,87102
NEWTEK CAPITAL INC,1094019,58836
VSOURCE,1003226,88747
CONNECTICUT WATER SERVICE INC,276209,26463
BROWN & BROWN INC,79282,63467
MADISON BANCSHARES GROUP LTD,846809,78982
RADIO ONE INC,1041657,88372
APROPOS TECHNOLOGY INC,1098803,87586
ACME UNITED CORP,2098,60038
MODIS PROFESSIONAL SERVICES INC,924646,80797
FACTUAL DATA CORP,1056673,86064
INTERNET CAPITAL GROUP INC,1085621,87167
ULTRALIFE BATTERIES INC,875657,78213
TRAILER BRIDGE INC,1039184,85216
CRAIG CORP,110985,49496
WARWICK COMMUNITY BANCORP INC,1046209,85721
PROTON ENERGY SYSTEMS INC,1114617,88642
HOLLY CORP,48039,32803
RADYNE COMSTREAM INC,718573,65518
CAPITAL PROPERTIES INC,202947,84837
AXCELIS TECHNOLOGIES INC,1113232,88417
NETWORK COMPUTING DEVICES INC,886138,77663
MONARCH COMMUNITY BANCORP INC,1169769,89484
ATLANTIC BANCGROUP INC,1087790,89820
TRANSMATION INC,99302,76946
CITRIX SYSTEMS INC,877890,82686
NEW CENTURY FINANCIAL CORP,1036075,85025
CALIFORNIA AMPLIFIER INC,730255,20670
GOLDEN TELECOM INC,1089874,87233
PANACO INC,882074,78718
IRIDEX CORP,1006045,83145
J JILL GROUP INC,910721,79819
MODEM MEDIA INC,1024787,86727
LINENS N THINGS INC,1023052,84169
LEGACY ACQUISITION CORP,1698113,17090
NEW HORIZONS WORLDWIDE INC,850414,75609
DIAGNOSTIC PRODUCTS CORP,702259,29752
PACIFIC CREST CAPITAL INC,912048,80010
COHERENT INC,21510,24476
AMBASSADORS INTERNATIONAL INC,946842,82155
PRIMEENERGY CORP,56868,46923
GENERAL COMMUNICATION INC,808461,12173
LAYNE CHRISTENSEN CO,888504,77862
SUMMIT FINANCIAL GROUP INC,811808,90544
AMERICAN LOCKER GROUP,8855,10488
CHEMICAL FINANCIAL CORP,19612,11992
FOSTER L B CO,352825,37402
3COM CORP,738076,76129
HANDLEMAN CO,314727,39765
WESTAMERICA BANCORPORATION,311094,82107
COX RADIO INC,1018522,83982
LITHIA MOTORS INC,1023128,84319
NEW YORK COMMUNITY BANCORP INC,910073,79859
SUNBURST HOSPITALITY CORP,1018146,84019
EXE TECHNOLOGIES INC,1047262,88523
FIRST BELL BANCORP INC,932697,81704
FIRST SOUTH BANCORP INC,1027183,84749
ALLIANCE BANCORP INC,1373079,77764
COLLAGENEX PHARMACEUTICALS INC,1012270,83638
ALANCO TECHNOLOGIES INC,98618,11456
SECOND BANCORP INC,803112,76197
PRIDE INTERNATIONAL INC,833081,12074
FLORIDA PUBLIC UTILITIES CO,37643,37023
ZILA INC,827156,76008
LODGENET ENTERTAINMENT CORP,911002,79712
VODAVI TECHNOLOGY INC,949491,82536
NEXTNAV INC,1865631,22220
COMPUCREDIT CORP,1068199,86819
THERMWOOD CORP,732240,75951
POLYMEDICA CORP,878748,77392
SENTO CORP,4317,84260
JACKSONVILLE BANCORP INC,1071264,80545
TURNSTONE SYSTEMS INC,1054131,87638
MEDIS TECHNOLOGIES LTD,1090507,88355
MEDICORE INC,8643,69542
CALLAWAY GOLF CO,837465,77366
CACI INTERNATIONAL INC,16058,20512
BOOKS A MILLION INC,891919,78050
MINE SAFETY APPLIANCES CO,66570,54253
BELDEN INC,913142,79668
OFFICEMAX INC,929428,81063
TETRA TECH INC,831641,77191
PROVIDENT FINANCIAL HOLDINGS INC,1010470,83683
PRECISION AUTO CARE INC,1038541,85568
SUMMIT FINANCIAL CORP,856223,76445
VITAL SIGNS INC,865846,76265
UTILICORP UNITED INC,66960,26606
EGAMES INC,948703,82520
HYPERION SOLUTIONS CORP,1001113,82551
BIOPURE CORP,815508,87057
INTERNATIONAL MULTIFOODS CORP,51410,53129
E SPIRE COMMUNICATIONS INC,932140,81469
3DFX INTERACTIVE INC,1010026,85046
ALPNET INC,712425,10422
ARGONAUT TECHNOLOGIES INC,1112880,88418
CHESAPEAKE UTILITIES CORP,19745,23182
SYLVAN INC,861291,76264
KOMAG INC,813347,11365
SHEFFIELD PHARMACEUTICALS INC,894158,79124
AMTRAN INC,898904,79149
ASPEN TECHNOLOGY INC,929940,80957
CONTINUCARE CORP,803352,82231
SIMPLE TECHNOLOGY INC,1102741,88646
PARAGON TECHNOLOGIES INC,90045,68233
ARTISTDIRECT INC,1095079,87751
IMMUCELL CORP,811641,11292
MEDIA ARTS GROUP INC,924645,80796
ALLIANCE SEMICONDUCTOR CORP,913293,79935
BLACKROCK INC,1060021,87267
GRUBB & ELLIS CO,216039,62885
TRIDENT MICROSYSTEMS INC,859475,78208
PSS WORLD MEDICAL INC,920527,80568
CYTYC CORP,849778,83251
VASCULAR SOLUTIONS INC,1030206,88475
INTERLOTT TECHNOLOGIES INC,873998,80420
STEELCASE INC,1050825,85796
SUSSEX BANCORP,1028954,85798
PETROLEUM HELICOPTERS INC,350403,62376
COLLEGELINK COM INC,95047,87534
BERRY PETROLEUM CO,778438,11478
TRANSMEDIA NETWORK INC,78536,10404
ADVANCED MARKETING SERVICES INC,814580,11483
INTEGRATED SILICON SOLUTION INC,854701,81256
PENN VIRGINIA CORP,77159,61955
WILLIS LEASE FINANCE CORP,1018164,83969
WEIRTON STEEL CORP,849979,75597
FIDELITY HOLDINGS INC,1009779,86388
RUDOLPH TECHNOLOGIES INC,1094392,87415
STORAGENETWORKS INC,1075658,88378
RICKS CABARET INTERNATIONAL INC,935419,82518
AUDIOVOX CORP,807707,75033
INDUSTRIAL HOLDINGS INC,879884,77262
RIMAGE CORP,892482,78054
PENNSYLVANIA COMMERCE BANCORP IN,1085706,80808
K SWISS INC,862480,76195
OAK HILL FINANCIAL INC,949953,82512
CORIO INC,1111001,88431
ALAMO GROUP INC,897077,78950
STERLING BANCSHARES INC,1183121,78009
ONYX ACCEPTANCE CORP,1006614,83295
ROANOKE ELECTRIC STEEL CORP,84278,67177
NOVOSTE CORP,1012131,83535
GLOBAL CAPITAL PARTNERS INC,899627,81694
LIGHTBRIDGE INC,1017172,83946
HEALTHTRONICS INC,1018871,87451
TRANSCEND SERVICES INC,858452,75930
COACTIVE MARKETING GROUP INC,886475,84315
DENDREON CORP,1107332,88335
WILLBROS GROUP INC,895450,83834
MATHSOFT INC,895095,78894
HERBALIFE INTERNATIONAL INC,791449,85694
DATATRAK INTERNATIONAL INC,886530,83632
CIRCUIT CITY STORES INC,104599,84577
WATERLINK INC,1037682,85078
GROW BIZ INTERNATIONAL INC,908315,79491
RENAL CARE GROUP INC,920052,83162
APRIA HEALTHCARE GROUP INC,882289,76653
CENTERSPAN COMMUNICATIONS CORP,932290,81281
PROFILE TECHNOLOGIES INC,1014653,84572
QUIKSILVER INC,805305,75527
UNIVERSAL AMERICAN FINANCIAL COR,709878,79477
TIMKEN CO,98362,14795
MERITAGE HOSPITALITY GROUP INC,808219,11185
EUROTECH LTD,1033030,88591
XETA TECHNOLOGIES INC,742550,11426
UNITED BANKSHARES INC,729986,11369
ROUGE INDUSTRIES INC,918577,80404
DOBSON COMMUNICATIONS CORP,1035985,87598
PHOTOGEN TECHNOLOGIES INC,761237,87408
HESKA CORP,1038133,85187
ZENGINE INC,1097119,88654
MARKETWATCH COM INC,1068969,86579
ULTRATECH STEPPER INC,909791,79628
QUICKSILVER RESOURCES INC,1060990,86759
CARBIDE GRAPHITE GROUP INC,888918,82253
HELIX TECHNOLOGY CORP,46709,41487
ECOMETRY CORP,935322,86585
OREGON STEEL MILLS INC,830260,75308
SYNTEL INC,1040426,85319
FIRST COMMUNITY BANCORP,1102112,88343
INFORMATION HOLDINGS INC,1063744,86307
MEDWAVE INC,876043,82593
DOW JONES & CO INC,29924,58990
ARGONAUT GROUP INC,800082,10843
CONOLOG CORP,23503,82165
ALPHANET SOLUTIONS INC,1002132,83234
TUMBLEWEED COMMUNICATIONS CORP,1022509,87189
EPRESENCE INC,888711,77837
KOSAN BIOSCIENCES INC,1110206,88733
CELLSTAR CORP,913590,79950
ANADIGICS INC,940332,81539
PARADYNE NETWORKS INC,76174,87085
GREG MANNING AUCTIONS INC,895516,79167
ULTIMATE ELECTRONICS INC,911626,79742
AAMES FINANCIAL CORP,879957,77162
ULTICOM INC,1103184,88202
SYSCOMM INTERNATIONAL CORP,1037417,85045
MACATAWA BANK CORP,1053584,87501
STEMCELLS INC,883975,77437
LIFECELL CORP,849448,77362
NORSTAN INC,72418,57884
PC CONNECTION INC,1050377,85886
PATTERSON DENTAL CO,891024,78034
KRAUSES FURNITURE INC,701974,76462
EGAIN COMMUNICATIONS CORP,1066194,87227
FOUNDRY NETWORKS INC,1090071,87229
GLOBAL SPORTS INC,828750,86168
LYNCH CORP,61004,33849
I2 TECHNOLOGIES INC,1009304,83386
RAINBOW TECHNOLOGIES INC,819706,11678
PRIMEX TECHNOLOGIES INC,1019265,84328
AMCAST INDUSTRIAL CORP,27425,12320
GENOME THERAPEUTICS CORP,356830,24548
ELECTRIC & GAS TECHNOLOGY INC,785819,10155
FIRST UNITED CORP,763907,77889
YARDVILLE NATIONAL BANCORP,787849,81763
ACXIOM CORP,733269,20117
APPLEBEES INTERNATIONAL INC,853665,78717
CATALYST INTERNATIONAL INC,915508,82564
PRIVATE BUSINESS INC,1069469,86910
ROCK TENN CO,230498,80361
MEDI JECT CORP,1016169,84099
FINANCIAL INSTITUTIONS INC,862831,86965
ENTRUST TECHNOLOGIES INC,1031283,86324
APOGEE ENTERPRISES INC,6845,14526
DIEDRICH COFFEE INC,947661,83929
ARGUSS COMMUNICATIONS INC,879986,77210
QUICKLOGIC CORP,882508,87364
MERRY LAND PROPERTIES INC,1069546,86389
COST U LESS INC,851368,86258
P F CHANGS CHINA BISTRO INC,1039889,86534
MARVEL ENTERPRISES INC,933730,81293
DYNAMEX INC,1015483,83861
NATIONAL PROCESSING INC,1016277,83828
CERES GROUP INC,215403,22198
SUPREME INDUSTRIES INC,350846,63159
DRUGSTORE COM INC,1086467,87105
POZEN INC,1059790,88740
HUTCHINSON TECHNOLOGY INC,772897,88795
TRANSACT TECHNOLOGIES INC,1017303,83910
CABLETRON SYSTEMS INC,846909,75625
STEIN MART INC,884940,77530
SYSTEMONE TECHNOLOGIES INC,934851,83947
ARVINMERITOR INC,1113256,85349
BALANCED CARE CORP,1024096,85782
PANHANDLE ROYALTY CO,315131,77236
ALLIANT TECHSYSTEMS INC,866121,76477
DENBURY RESOURCES INC,945764,82196
PEDIATRIX MEDICAL GROUP,893949,82272
CAREERENGINE NETWORK INC,795255,70156
CASH TECHNOLOGIES INC,1022964,86251
LAKES GAMING INC,1071255,86578
EPICOR SOFTWARE CORP,891178,78008
SIGMATRON INTERNATIONAL INC,915358,80274
CAPSTONE TURBINE CORP,1009759,88332
SNOWBALL COM INC,1101547,87815
AVON PRODUCTS INC,8868,40416
FREEPORT MCMORAN COPPER & GOLD,831259,81774
KEMET CORP,887730,78001
ANDERSONS INC,821026,83112
ISCO INC,773730,89245
TOFUTTI BRANDS INC,730349,68718
ATLANTIC TELE NETWORK INC,879585,77090
SMITH A O CORP,91142,65402
TEMECULA VALLEY BANCORP INC,1172678,90823
PIERRE FOODS INC,67494,82449
OXIGENE INC,908259,79516
NAUTICA ENTERPRISES INC,93736,72710
PALM HARBOR HOMES INC,923473,81889
VERSANT CORP,865917,83808
OLD NATIONAL BANCORP,707179,12068
GENIE ENERGY LTD,1528356,13019
ON ASSIGNMENT INC,890564,77917
DIGITAL LIGHTWAVE INC,1016100,84525
SALON COM,1084332,86995
TESORO PETROLEUM CORP,50104,37284
BARNWELL INDUSTRIES INC,10048,42358
CHART HOUSE ENTERPRISES INC,820757,75815
POTLATCH CORP,79716,49744
DISC GRAPHICS INC,904541,82653
MILLENNIUM CHEMICALS INC,1018099,83995
PALM INC,1100389,87800
MARKWEST HYDROCARBON INC,1019756,84110
CORILLIAN CORP,1041403,88153
WAVERIDER COMMUNICATIONS INC,844053,88386
TELULAR CORP,915324,80165
GOODYS FAMILY CLOTHING INC,879123,77026
UNIVERSITY BANCORP INC,811211,11396
I SECTOR CORP,1020017,85158
FIRST MARBLEHEAD CORP,1262279,89877
RUSSELL CORP,85812,47490
ZIXIT CORP,855612,75853
GADZOOKS INC,924140,82492
AMERICAN ECOLOGY CORP,742126,12758
MARCUS CORP,62234,51423
YORK GROUP INC,1007084,83436
DUANE READE INC,895364,85786
MPOWER COMMUNICATIONS CORP,1047960,86077
AVANT IMMUNOTHERAPEUTICS INC,744218,10258
CAREMARK RX INC,1000736,81262
ACACIA RESEARCH CORP,934549,83730
REPUBLIC FIRST BANCORP INC,834285,12166
FAHNESTOCK VINER HOLDINGS INC,791963,78451
STAR BUFFET INC,1043156,85402
BOB EVANS FARMS INC,33769,18570
ADVANCED RADIO TELECOM CORP,1010286,84191
BRIDGFORD FOODS CORP,14177,19271
FRIEDMAN INDUSTRIES INC,39092,58421
ADSTAR COM INC,1091599,87557
AETRIUM INC,908598,79472
NETWORK ENGINES INC,1110903,88457
APTARGROUP INC,896622,79133
MAIL COM INC,1081661,86983
INSITUFORM EAST INC,355431,44266
WEBEX COMMUNICATIONS INC,1109935,88478
MILLENNIUM CELL INC,1114872,88544
YOUNG BROADCASTING INC,929144,81119
RUBY TUESDAY INC,68270,55213
NEW YORK HEALTH CARE INC,1018354,84323
SCHERER HEALTHCARE INC,703598,12002
MESSAGEMEDIA INC,1017829,84312
URBAN OUTFITTERS INC,912615,79881
SONICWALL INC,1093885,87419
UTEK CORP,1098482,88746
BRINKER INTERNATIONAL INC,703351,23297
BIO RAD LABORATORIES INC,12208,61516
ST FRANCIS CAPITAL CORP,897941,79309
DANA CORP,26780,11607
TERREMARK WORLDWIDE INC,912890,84157
EVANS & SUTHERLAND COMPUTER CORP,276283,33612
ALEXION PHARMACEUTICALS INC,899866,83111
VYYO INC,1104730,88204
WORLDQUEST NETWORKS INC,1089932,87647
NETWORK CONNECTION INC,932088,81644
ARGOSY GAMING CO,895385,78867
GOLD STANDARD INC,42136,11811
CELLEGY PHARMACEUTICALS INC,887247,82163
TRICO MARINE SERVICES INC,921549,83568
FINDWHAT COM,1094808,88163
PREMIERWEST BANCORP,1102287,89801
SILVER RUN ACQUISITION CORP II,1690769,16677
ADAPTIVE BROADBAND CORP,16357,20723
LIN MEDIA LLC,1575571,14029
MAYS J W INC,54187,27617
FEDERAL MOGUL CORP,34879,21338
HOME LOAN FINANCIAL CORP,1050894,85874
LOGIC DEVICES INC,802851,12214
E PIPHANY INC,1089613,87228
FRANKLIN TELECOMMUNICATIONS CORP,722572,10066
PRAECIS PHARMACEUTICALS INC,1033025,88190
BOWNE & CO INC,13610,47642
MARSH SUPERMARKETS INC,62737,76670
MOBILITY ELECTRONICS INC,1075656,88359
STEINWAY MUSICAL INSTRUMENTS INC,911583,83832
BRUKER DALTONICS INC,1109354,88504
INSTEEL INDUSTRIES INC,764401,87725
HUNTCO INC,905722,79272
GLOBECOMM SYSTEMS INC,1031028,85291
ANALOGIC CORP,6284,14198
BLUE RHINO CORP,1034379,86088
ARCTIC CAT INC,719866,76207
NETLOJIX COMMUNICATIONS INC,1005974,86050
CONSULIER ENGINEERING INC,846718,75764
PHARMACOPEIA INC,1002388,82734
INVESTORS TITLE CO,720858,10901
HICKORY TECH CORP,766561,81311
INET TECHNOLOGIES INC,1065351,86897
TARRANT APPAREL GROUP,944948,81901
REDWOOD EMPIRE BANCORP,840007,76830
DAKTRONICS INC,915779,80233
ILEX ONCOLOGY INC,1001915,84543
GABELLI ASSET MANAGEMENT INC,807249,86593
GOLDEN ENTERPRISES INC,42228,39328
KASPER A S L LTD,1037067,86331
CITADEL HOLDING CORP,716634,87533
MATRIA HEALTHCARE INC,1007228,76110
QUIXOTE CORP,32870,65163
CURIS INC,1108205,88511
ELCOTEL INC,801448,10863
TECHNICAL COMMUNICATIONS CORP,96699,74836
MIDWAY GAMES INC,1022080,84031
EQUITEX INC,716101,33372
TENGASCO INC,1001614,87471
PRINTWARE INC,801529,83785
HYPERCOM CORP,1045769,85611
EYETECH PHARMACEUTICALS INC,1115285,90008
NOODLES & CO,1275158,13959
OCULAR SCIENCES INC,882484,85304
NEOMAGIC CORP,1030485,84625
OBIE MEDIA CORP,1025169,84240
ASTEC INDUSTRIES INC,792987,10382
CORUS BANKSHARES INC,51939,67046
DATASTREAM SYSTEMS INC,938481,81483
SOUTHERN PERU COPPER CORP,1001838,82800
TRANS WORLD ENTERTAINMENT CORP,795212,10514
CONMED CORP,816956,11547
MITEK SYSTEMS INC,807863,11803
CRYOLIFE INC,784199,78876
DELTA PETROLEUM CORP,821483,79259
OROAMERICA INC,824435,79615
AMERICAN TOWER CORP,1053507,86111
NEIMAN MARCUS GROUP INC,819539,87283
BONE CARE INTERNATIONAL INC,1009405,83478
PRE PAID LEGAL SERVICES INC,311657,63811
GARDNER DENVER INC,916459,80446
99 CENTS ONLY STORES,1011290,83452
HUDSON RIVER BANCORP INC,1057007,86268
PANTRY INC,915862,86993
OPTA FOOD INGREDIENTS INC,883326,77384
MATRIXONE INC,786998,87793
AMERALIA INC,811419,11642
IGATE CAPITAL CORP,1024732,84320
QLOGIC CORP,918386,80266
INTERFACE INC,715787,44768
BALCHEM CORP,9326,10318
COMMUNITY BANK SYSTEM INC,723188,86896
PHOTRONICS INC,810136,11154
SURGE COMPONENTS INC,747540,83907
DELTA AIR LINES INC,27904,26112
HANMI FINANCIAL CORP,1109242,88865
HUMANA INC,49071,48653
MERIDIAN INSURANCE GROUP INC,809801,11187
AMERICAN GREETINGS CORP,5133,13056
ALLTRISTA CORP,895655,78977
SANDISK CORP,1000180,82618
MEMRY CORP,720896,90051
M WAVE INC,883842,77495
MERIDIAN MEDICAL TECHNOLOGIES IN,95676,73796
ON SITE SOURCING INC,1012141,83891
PATH 1 NETWORK TECHNOLOGIES INC,1059404,89785
PRECIS SMART CARD SYSTEMS INC,1017440,87625
COMPUTER HORIZONS CORP,23019,26252
CYPRESS COMMUNICATIONS INC,1043892,87597
BIOFRONTERA INC,1858685,22186
ALARIS MEDICAL INC,817161,75477
RATIONAL SOFTWARE CORP,722056,80515
CLARION TECHNOLOGIES INC,835409,87757
PARK BANCORP INC,1013554,83893
